"ID","Type","Name","Documentation","Specialization"
"id-3b7d80b7034c4c77bf160c6465a684d0","ArchimateModel","Reference Architecture for FAIR Data Infrastructures","Reference Architecture for FAIR Data Infrastructures",""
"id-20449b93497848efaf243c6046c8c870","Capability","Access Management","The ability to manage user access and permissions across datasets and systems, ensuring that only authorized users can interact with sensitive data.
",""
"id-c8ee4e676ed746be9df0ca6997190dfa","Capability","Access Management (copy)","The ability to manage user access and permissions across datasets and systems, ensuring that only authorized users can interact with sensitive data.
",""
"id-d285ecf39fc743f0b83198516539941a","Capability","Actionable Data Management Plan","Capability to create machine-readable data management plans, share and update them through interfaces. Ability to actively utilize the machine-readable features of the data management plan to facilitate the researcher's work throughout the research process.",""
"id-7fc3bc52a4944ca6a49f1aa2c6a59a23","Capability","Actionable Data Management Plan (copy)","Capability to create machine-readable data management plans, share and update them through interfaces. Ability to actively utilize the machine-readable features of the data management plan to facilitate the researcher's work throughout the research process.",""
"id-8fe13eb69bcf47fcb6ad7781c13e469b","Capability","Anonymization and Pseudonymization","",""
"id-594d86fff4a04cca8216057f4796c9ed","Capability","Anonymization and Pseudonymization (copy)","",""
"id-8593a39dcfbe463eb4c8aae5093bcd50","Capability","API Management","Skills in developing and managing APIs (Application Programming Interfaces) that enable efficient and secure access to datasets and research tools.",""
"id-8b3868b76c5b482397573406af8a8862","Capability","API Management (copy)","Skills in developing and managing APIs (Application Programming Interfaces) that enable efficient and secure access to datasets and research tools.",""
"id-b0f86f4a002f4f0baf61d02e758acad9","Capability","Artificial Intelligence","Expertise in leveraging machine learning and artificial intelligence to gain insights from large datasets, including the ability to apply advanced analytics techniques for pattern recognition, prediction, and data mining.",""
"id-449ace69e9f14a6dbd52924ddfd37c44","Capability","Artificial Intelligence (copy)","Expertise in leveraging machine learning and artificial intelligence to gain insights from large datasets, including the ability to apply advanced analytics techniques for pattern recognition, prediction, and data mining.",""
"id-046d158a7cbd44d2ab33f88160a48e3e","Capability","Change Management","The knowledge to plan and manage changes in data infrastructure, governance policies, or technology systems to adapt to evolving research needs.",""
"id-018c2a91516c448ebd43aa53add04b1d","Capability","Change Management (copy)","The knowledge to plan and manage changes in data infrastructure, governance policies, or technology systems to adapt to evolving research needs.",""
"id-18bb30150ceb4938bf48e713e7b2f56d","Capability","Cloud Architectures","The ability to leverage cloud computing resources to build scalable, flexible, and cost-effective data infrastructures for research.",""
"id-51357ff8e4544e50bf3c724dd75e0acb","Capability","Cloud Architectures (copy)","The ability to leverage cloud computing resources to build scalable, flexible, and cost-effective data infrastructures for research.",""
"id-e67560f9e0874b0195e36657cca8a4d8","Capability","Cumulative and Big Data","Experise in transfer, storage, and processing of large data volumes. Knowledge in applying data compression techniques to manage large volumes of data without sacrificing data quality or performance. Skills in managing and processing datasets that grow incrementally over time. Expertise in handling and processing large datasets, including the infrastructure and computational techniques required to manage them effectively.",""
"id-7f174fbe918241f58056d16d43e3b939","Capability","Cumulative and Big Data (copy)","Experise in transfer, storage, and processing of large data volumes. Knowledge in applying data compression techniques to manage large volumes of data without sacrificing data quality or performance. Skills in managing and processing datasets that grow incrementally over time. Expertise in handling and processing large datasets, including the infrastructure and computational techniques required to manage them effectively.",""
"id-349dacdcc8fc488db89de82a667b5016","Capability","Data Analytics And Reporting","Skills in applying analytical techniques to interpret large datasets and generate insights that inform research findings and reporting.",""
"id-c87fe99723d4483f9865c87b10d0ef1a","Capability","Data Analytics And Reporting (copy)","Skills in applying analytical techniques to interpret large datasets and generate insights that inform research findings and reporting.",""
"id-e906de5ff75848b3abb0ff2217cdffea","Capability","Data Citation and Attribution","Knowledge in assigning proper citations and credit for datasets, ensuring that data creators are appropriately acknowledged in research outputs.",""
