"ID","Type","Name","Documentation","Specialization"
"id-3b7d80b7034c4c77bf160c6465a684d0","ArchimateModel","Reference Architecture for FAIR Data Infrastructures","Reference Architecture for FAIR Data Infrastructures",""
"id-60eadda102da4b3b938a3ad49a3d440b","BusinessCollaboration","Data Standardization","The process of ensuring that data across different systems or organizations conforms to a standard format and structure, making it easier to share, integrate, and analyze.",""
"id-d615430eedef407f961f7b7cf065d7bb","BusinessProcess","Data Collection","The process of gathering raw data from various sources, whether manually or through automated systems, for further processing and analysis.",""
"id-712ac63d0d384d41aca7e118d1ef40e3","BusinessProcess","Data Integration & Interoperability","The process of combining data from different sources and ensuring it works together in a seamless, interoperable manner, allowing systems to share and interpret data effectively.",""
"id-e09e26c5ec5b4a3d9ebab24832702975","BusinessProcess","Data Management Plan","A document or process that outlines how data will be collected, managed, and maintained over its lifecycle to ensure accessibility, preservation, and compliance with policies.",""
"id-932b6272dedc44099fd974e795a3f921","BusinessProcess","Data Publication","The process of making datasets available to the public or within a community in a structured and accessible manner.",""
"id-3b37e6acf19b486e8a82a3249f878231","BusinessProcess","Data Quality","The process of ensuring that data meets defined standards of accuracy, consistency, and reliability, critical for effective decision-making and analysis.",""
"id-c6358b56b9a84757817da148259e75d7","BusinessProcess","Domain Modelling","The process of creating a conceptual model that reflects the structure and behavior of data within a specific domain, aiding understanding and communication between stakeholders.",""
"id-bf08418d3e0c41049222f8801215d7a5","BusinessProcess","FAIR Infrastructure Governance","The structured process of managing and regulating the infrastructure required for ensuring that data adheres to FAIR principles (Findable, Accessible, Interoperable, and Reusable).",""
"id-7397d468624c4601a4c78b20be01f5b0","BusinessProcess","Reference & Master Data Management","The process of managing key data entities (reference and master data) that are critical for the operation of business processes across the organization.",""
"id-6a9889a99f0a465a951db3a4dabb04cb","BusinessProcess","Research Data Lifecycle","The process that encompasses all phases of research data management, from planning, collection, processing, preservation, to sharing and reuse.",""
"id-0ab8bb7bb4104a7bbb7f1d04f8b1f5be","ApplicationProcess","Access control","The process of managing who can view or use resources in a computing environment, ensuring security and privacy.",""
"id-34a21f7e09834ba189d1d7227580c5dc","ApplicationProcess","Cleaning","The process of detecting and correcting (or removing) corrupt or inaccurate records from a dataset, improving data quality.",""
"id-a603e6ad55a8440c809ea1e967a8f13b","ApplicationProcess","Collection","The process of gathering and storing data from different sources for further analysis or processing.",""
"id-c9a11b59f8cc49ae8fc793204a04aece","ApplicationProcess","Data Harmonization Pipeline","A structured process that ensures data is transformed into a common format or standard for ease of use across different systems or databases.",""
