"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-26dd73d244d741a0959ef9654834a6f0","AccessRelationship","","","id-aa513e51053545c0b75876b8acc50b2b","id-c9d36edb264f49e385b3c8e552b63736",""
"id-95540357833b47afa8ae3a5e211be615","AccessRelationship","","","id-146e93c311164f37b9770f4f656ce6ed","id-75da87ec51004d0c8ff803991521ba5a",""
"id-eb0bc97cf3454ec6a95700328649afb5","AccessRelationship","","","id-10ca9fa9cd6e4b1abc7f0fdb40d07e80","id-db86e452bf434779b1a1d4605322cbe3",""
"id-68066b83f7fa46f4b9f542822f054e77","AccessRelationship","","","id-563b2110ee0141a193d1bb867a2d029e","id-f32b97627eb445d08c375dd18905fc96",""
"id-0d28981eedb44161a3f2c2dba036876c","AccessRelationship","","","id-10ca9fa9cd6e4b1abc7f0fdb40d07e80","id-1476dd75986748bab22c6afdee244c25",""
"id-9bb30a7f1dc64138a41a9d9f60f2e893","AccessRelationship","","","id-aa513e51053545c0b75876b8acc50b2b","id-ae6d47fdffbc4e95afc0f83b15b94244",""
"id-3b415aea6924406b988f78b81345f8cd","AccessRelationship","","","id-d0911f734bb64711b84df76baad8b070","id-42f04fc92848404ba2f3e3c851eec223",""
"id-f4273ab816e143f891d41995148bf28f","AccessRelationship","","","id-d0911f734bb64711b84df76baad8b070","id-9317da0b32054394b0680f2c418ebedc",""
"id-5a55cf1c7e1544609002226d65b3613f","AccessRelationship","","","id-aa513e51053545c0b75876b8acc50b2b","id-4bbc3513e1b74bbea0a883ddde32332b",""
"id-45f3f82b22a04e4aafc83d0c8ce104fe","AccessRelationship","","","id-146e93c311164f37b9770f4f656ce6ed","id-026049dfa8ad4d648c98a3ddeb62f8b2",""
"id-39665e3a84524b8ba7b3b1aec84c79dd","AccessRelationship","","","id-563b2110ee0141a193d1bb867a2d029e","id-c939c8998d2c4b538a3bfad7feadb7ba",""
"id-26a8c47f2de54f73a3f32b2c3ed4f873","AccessRelationship","","","id-563b2110ee0141a193d1bb867a2d029e","id-8614077189064d3288d7ad1c16638a44",""
"id-ff317d349d5e483693cd0f02b6a107ce","AccessRelationship","","","id-10ca9fa9cd6e4b1abc7f0fdb40d07e80","id-09ef67576bec497e902077429930704b",""
"id-4ea890604e014ee389152050a7ceb8cd","AccessRelationship","","","id-d0911f734bb64711b84df76baad8b070","id-2af4bb4d64fd4f41a647f5fe91530374",""
"id-7cf1e9c25a3d4a998394bb559f8e9c7f","AccessRelationship","","","id-146e93c311164f37b9770f4f656ce6ed","id-53926347263c49e2871029dc426b9616",""
"id-003759690a0c425893b42d7bcfda0649","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-1d90bb64fa264c84b1caf13713b9ec24",""
"id-93e24a5e67df47f1a7ee45ee8c42936c","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-591af9fc88994522b8974450cb138bdc",""
"id-81d2a8c9b22b49cebb5f6c886a9fed50","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-c96086e82a3c4a28b78d3d565c52c60e",""
"id-badd29111e5e4c9cb6585c21a8d17c26","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-b44cd6ed55a648d49df02398675e0a02",""
"id-6ae0833d257c49e78b89488693e46ee9","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-98fa77eb8210446aadcb2a72b3575fdb",""
"id-078ef2859c9f4071a2249677d43e42c5","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-6cc4ef14112740aca52a39f64454a867",""
"id-d339b678e26a44d1944d63435a4e9f98","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-046412b68241467e841cf54bd140da82",""
"id-0321f015758b4474ad90a79dbfc29aa9","AggregationRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-c642d92bc6ed4c839a8555d780f5cb19",""
"id-0c6d1d9438c34969ac78c77908f0d59c","AssignmentRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-d233737f466f45519da3107b45acfd3f",""
"id-4317e52f7b5443a2845bcc035d5dac42","AssignmentRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-8c56071da1414281a3487296162d0261",""
"id-8292bbc8e1ef4e378fb8d116f36851ee","AssignmentRelationship","","","id-88bdc61b66084512af90cb6b90fdfd62","id-8af1049318c844208418f585711460bd",""
"id-1fef48136bec4f98a3ede48da997a947","AssignmentRelationship","","","id-88bdc61b66084512af90cb6b90fdfd62","id-3e0d6db1da5e44a59fd0b5bcb3acae2d",""
"id-004542beabc940d2935be6ed2be383df","AssignmentRelationship","","","id-88bdc61b66084512af90cb6b90fdfd62","id-ee1741e5c1b740b6bedd87d79afdad59",""
"id-b9c48d065edf4baeb9f75a78579cc9e0","AssignmentRelationship","","","id-60eadda102da4b3b938a3ad49a3d440b","id-7397d468624c4601a4c78b20be01f5b0",""
"id-f2c91addc01a48d5b0b773b793d1172c","AssignmentRelationship","","","id-a0af72bbe7fe43e69ec45f25b678ffb6","id-039b2b7a1d91446f9a68e93031ae1e70",""
"id-0bfd1cfda5f745f48c3cd11db1bd6c59","AssignmentRelationship","","","id-60eadda102da4b3b938a3ad49a3d440b","id-712ac63d0d384d41aca7e118d1ef40e3",""
"id-f3020ed13bb447b0b18fb175b0a20d56","AssociationRelationship","","","id-431a07ea060d44a9933b3d40b525c006","id-a8907ec881b641849675fd0a55d49b03",""
"id-782f70a92f75491d960eb0ec4b0ac61c","AssociationRelationship","","","id-bdf72d39edc244b480d567d93a17064c","id-676be3a1c4f146eb8e33e1ba9ce65bf0",""
"id-c8242f7e85fd4b6c849c21425fbcdc10","AssociationRelationship","","","id-bdf72d39edc244b480d567d93a17064c","id-630f794aff154986884ee9773ef1aa6c",""
"id-83e16965fac945d0bcfde2757c689deb","AssociationRelationship","","","id-0252e12979eb4c4abd733a4057f995c1","id-7f21e8694d9447789c7d9f1691e35d43",""
"id-bc5778f748d84b69894e1297c0eec72e","AssociationRelationship","","","id-bced1fc6c68f469d8351db970a20b630","id-c9b2fc69fa8c4c4d99e0fc9fee965da0",""
"id-1b668a22021a4c2792d1a606d2886fff","AssociationRelationship","","","id-7537961dc41145acaf2cd61891a86902","id-431a07ea060d44a9933b3d40b525c006",""
"id-0e3857f7b6364476bf79fb7a861a9107","AssociationRelationship","","","id-0252e12979eb4c4abd733a4057f995c1","id-7537961dc41145acaf2cd61891a86902",""
"id-bf9e125c2a454152bccaca688f60cd68","AssociationRelationship","","","id-84bc574b7dd54a0aa15da7f3c796ee50","id-ba17b004421f4993859e4ae90547408f",""
"id-2a2b0a80dbe445ea8ab72144dfabfe3b","AssociationRelationship","","","id-dfc4619d1573425b872404e1efc8b1b8","id-06cc1567f13a4f60a1c4c0678b17646e",""
"id-c9410c4ed582437da2a86bbe712176e9","AssociationRelationship","","","id-e2e3bd37f1c94f92a24a96364ba0e3bb","id-ff996410103a4200bfaadc60a4f14fe2",""
"id-20dbae1ef17e459bbc2f898f9f217015","AssociationRelationship","","","id-0252e12979eb4c4abd733a4057f995c1","id-74d6f68c268441b4bd8bd57ee7943398",""
"id-82ecefc2be2d4f46800286b20017c95f","AssociationRelationship","","","id-e361c38b14034cb4a03d7378864bf6be","id-ac94d2be5977485d8adbabbe1c3d7679",""
"id-bea4123458e44258b5b0f8cf029f096e","AssociationRelationship","","","id-bdf72d39edc244b480d567d93a17064c","id-da9411f83cb741f687c78ccfd4698e48",""
"id-72695f5f83984b4fa9c896a24d119d91","AssociationRelationship","","","id-431a07ea060d44a9933b3d40b525c006","id-44f6124149b248e7ae79c676915b6532",""
"id-2565737a10b84945b93089496f8203f5","AssociationRelationship","","","id-84bc574b7dd54a0aa15da7f3c796ee50","id-1ac42d9c263e413788497e7b843dae57",""
"id-fd359386aca14f1cba62e3371a9246b7","AssociationRelationship","","","id-dfc4619d1573425b872404e1efc8b1b8","id-fe96eda9bc5745988305daa07a6d1517",""
"id-124239356ab146eb823d900bd42f199a","AssociationRelationship","","","id-e2e3bd37f1c94f92a24a96364ba0e3bb","id-0c03d93902ee4304aa394170cecb0682",""
"id-6b0135586dc64db98585ec89fcdd139d","AssociationRelationship","","","id-fab0766e05ff4f0ca57e8e5c91713780","id-6ca25261b2dd434e8a4cd9d5985434de",""
"id-4a47cf5ffb814ded8e056fe75ad81bd3","AssociationRelationship","","","id-84bc574b7dd54a0aa15da7f3c796ee50","id-c736dc90f3c24ab793c16148170cbd26",""
"id-8af81ed3b4744eafa1eaba0d40050835","AssociationRelationship","","","id-bced1fc6c68f469d8351db970a20b630","id-d2f13b5c3f714d2e8e4f6ca404500900",""
"id-dd610ec036884bcf9ca410dfd9ed7fe3","AssociationRelationship","","","id-e2e3bd37f1c94f92a24a96364ba0e3bb","id-273555cd3fd54f03b1e41868aaf8038b",""
"id-e9037d6341294c4da4a33755c308f05c","AssociationRelationship","","","id-fab0766e05ff4f0ca57e8e5c91713780","id-f875106b325d481e8f2fb43858f991fb",""
"id-a56e0bbbe80d43819f81730eeb7eef00","AssociationRelationship","","","id-c939c8998d2c4b538a3bfad7feadb7ba","id-8614077189064d3288d7ad1c16638a44",""
"id-d1997bbf69d7419898e45cf8e35a7a2a","AssociationRelationship","","","id-bdf72d39edc244b480d567d93a17064c","id-26bd7641ac8f457ebb69da38091bc24f",""
"id-683116ba8f374b4aa7a7a15550f9b8cf","AssociationRelationship","","","id-bced1fc6c68f469d8351db970a20b630","id-74b0e46454e54b46a1fd98fca10c93bf",""
